"","code_bairro","year","pop_total","pop_men","pop_women","pop_15to19_total","pop_15to19_men","pop_15to19_women","pop_20to24_total","pop_20to24_men","pop_20to24_women","pop_25to29_total","pop_25to29_men","pop_25to29_women","name_bairros","pop_young","pop_youngmen","pop_youngwomen","prop_young_total","prop_youngmen_men","prop_youngwom_woman","prop_youngmen_young","prop_youngwom_young","pop_youngrow"
"163",2611606069,2010,70453,32870,37583,5891,2938,2953,6900,3344,3556,7109,3384,3725,"Várzea",19900,9666,10234,0.28,0.29,0.27,0.49,0.51,-0.02
"164",2611606070,2010,9634,4584,5050,902,465,437,900,428,472,883,437,446,"Caxangá",2685,1330,1355,0.28,0.29,0.27,0.5,0.5,0.01
"165",2611606071,2010,52200,24036,28164,4357,2174,2183,4950,2342,2608,5084,2397,2687,"Iputinga",14391,6913,7478,0.28,0.29,0.27,0.48,0.52,-0.00999999999999995
"166",2611606072,2010,32015,15101,16914,2995,1509,1486,3252,1608,1644,2925,1382,1543,"Torrões",9172,4499,4673,0.29,0.3,0.28,0.49,0.51,-0.01
"167",2611606073,2010,10211,4609,5602,802,400,402,832,427,405,922,432,490,"Engenho do Meio",2556,1259,1297,0.25,0.27,0.23,0.49,0.51,-0.02
"168",2611606074,2010,818,419,399,69,40,29,94,57,37,71,39,32,"Cidade Universitária",234,136,98,0.29,0.32,0.25,0.58,0.42,0.04
"169",2611606075,2010,36265,16694,19571,2902,1458,1444,3347,1620,1727,3050,1424,1626,"Afogados",9299,4502,4797,0.26,0.27,0.25,0.48,0.52,-0.02
"170",2611606076,2010,10245,4775,5470,887,444,443,897,430,467,876,403,473,"Jiquiá",2660,1277,1383,0.26,0.27,0.25,0.48,0.52,-0.03
"171",2611606077,2010,9240,4326,4914,815,411,404,822,413,409,744,342,402,"Estância",2381,1166,1215,0.26,0.27,0.25,0.49,0.51,-0.02
"172",2611606078,2010,29894,13573,16321,2254,1124,1130,2591,1222,1369,2718,1337,1381,"Areias",7563,3683,3880,0.25,0.27,0.24,0.49,0.51,-0.03
"173",2611606079,2010,10470,4954,5516,979,518,461,967,466,501,904,444,460,"Caçote",2850,1428,1422,0.27,0.29,0.26,0.5,0.5,-0.02
"174",2611606080,2010,16418,7753,8665,1354,683,671,1404,677,727,1583,715,868,"Curado",4341,2075,2266,0.26,0.27,0.26,0.48,0.52,-0.06
"175",2611606081,2010,2420,1101,1319,178,83,95,226,109,117,195,104,91,"Totó",599,296,303,0.25,0.27,0.23,0.49,0.51,-0.02
"176",2611606082,2010,10794,5073,5721,959,498,461,905,449,456,937,448,489,"Coqueiral",2801,1395,1406,0.26,0.27,0.25,0.5,0.5,-0.03
"177",2611606083,2010,11199,7014,4185,757,446,311,1630,1282,348,1567,1222,345,"Sancho",3954,2950,1004,0.35,0.42,0.24,0.75,0.25,0
"178",2611606084,2010,8918,4085,4833,697,341,356,742,356,386,800,386,414,"Tejipió",2239,1083,1156,0.25,0.27,0.24,0.48,0.52,-0.02
"179",2611606085,2010,31648,14624,17024,2596,1284,1312,2613,1293,1320,2816,1344,1472,"Jardim São Paulo",8025,3921,4104,0.25,0.27,0.24,0.49,0.51,-0.04
"180",2611606086,2010,31847,14965,16882,2976,1518,1458,2943,1449,1494,2753,1320,1433,"Barro",8672,4287,4385,0.27,0.29,0.26,0.49,0.51,-0.01
"181",2611606087,2010,67283,31584,35699,5921,2916,3005,6136,3003,3133,6326,3037,3289,"Cohab",18383,8956,9427,0.27,0.28,0.26,0.49,0.51,-0.03
"182",2611606088,2010,20777,9746,11031,1931,993,938,1951,945,1006,1765,836,929,"Jordão",5647,2774,2873,0.27,0.28,0.26,0.49,0.51,-0.01
"183",2611606089,2010,50617,23833,26784,4395,2184,2211,4381,2059,2322,4647,2124,2523,"Ibura",13423,6367,7056,0.27,0.27,0.26,0.47,0.53,-0.03
"184",2611606090,2010,25029,11007,14022,1793,868,925,2001,984,1017,2073,951,1122,"Ipsep",5867,2803,3064,0.23,0.25,0.22,0.48,0.52,-0.03
"185",2611606091,2010,48512,22508,26004,3998,1981,2017,4560,2168,2392,4715,2209,2506,"Imbiribeira",13273,6358,6915,0.27,0.28,0.27,0.48,0.52,-0.03
"186",2611606092,2010,122922,55044,67878,8206,4023,4183,10352,4845,5507,11329,5198,6131,"Boa Viagem",29887,14066,15821,0.24,0.26,0.23,0.47,0.53,-0.04
"187",2611606093,2010,29176,13503,15673,2303,1157,1146,2592,1250,1342,2712,1223,1489,"Pina",7607,3630,3977,0.26,0.27,0.25,0.48,0.52,-0.03
"188",2611606094,2010,18334,8571,9763,1442,745,697,1621,816,805,1675,804,871,"Brasília Teimosa",4738,2365,2373,0.26,0.28,0.24,0.5,0.5,-0.04
